"","shrid2","first_park_year","treated_pc11_village_town_id","first_park_id"
"87","11-05-061-00313-048547",99,"048547",NA
"88","11-05-061-00313-048568",99,"048568",NA
"89","11-05-061-00313-048584",99,"048584",NA
"90","11-05-064-00327-052265",99,"052265",NA
"91","11-05-066-00343-055366",99,"055366",NA
"92","11-05-067-00346-055678",99,"055678",NA
"93","11-05-067-00346-055688",99,"055688",NA
"94","11-05-067-00346-055697",99,"055697",NA
"95","11-05-067-00346-800340",2014,"800340",4415
"96","11-05-067-00348-055825",99,"055825",NA
"97","11-05-067-00348-055859",99,"055859",NA
"98","11-05-067-00349-055929",2003,"055929",6619
"99","11-05-067-00349-800346",99,"056017",NA
